date,start_local,end_local,duration_minutes,max_altitude_deg,quality
2027-06-25,2027-06-25T17:59:45.546673+10:00,2027-06-25T22:19:45.546673+10:00,270.0,76.28,excellent
2027-06-26,2027-06-26T18:00:02.175099+10:00,2027-06-26T23:10:02.175099+10:00,320.0,87.79,excellent
2027-06-27,2027-06-27T17:50:19.583336+10:00,2027-06-28T04:30:19.583336+10:00,650.0,88.37,excellent
2027-06-28,2027-06-28T17:50:37.745001+10:00,2027-06-29T04:30:37.745001+10:00,650.0,88.54,excellent
2027-06-29,2027-06-29T17:50:56.633390+10:00,2027-06-30T04:20:56.633390+10:00,640.0,88.19,excellent
2027-06-30,2027-06-30T17:41:16.221533+10:00,2027-07-01T04:21:16.221533+10:00,650.0,88.55,excellent
2027-07-01,2027-07-01T17:41:36.482239+10:00,2027-07-02T04:21:36.482239+10:00,650.0,88.34,excellent
2027-07-02,2027-07-02T17:31:57.388145+10:00,2027-07-03T04:11:57.388145+10:00,650.0,88.48,excellent
2027-07-03,2027-07-03T17:32:18.911773+10:00,2027-07-04T04:12:18.911773+10:00,650.0,88.47,excellent
2027-07-04,2027-07-04T17:32:41.025574+10:00,2027-07-05T04:02:41.025574+10:00,640.0,88.36,excellent
2027-07-05,2027-07-05T17:33:03.701982+10:00,2027-07-06T04:03:03.701982+10:00,640.0,88.54,excellent
2027-07-06,2027-07-06T17:33:26.913464+10:00,2027-07-07T03:53:26.913464+10:00,630.0,88.2,excellent
2027-07-07,2027-07-07T17:33:50.632571+10:00,2027-07-08T03:53:50.632571+10:00,630.0,88.55,excellent
2027-07-08,2027-07-08T17:34:14.831984+10:00,2027-07-09T03:54:14.831984+10:00,630.0,88.33,excellent
2027-07-09,2027-07-09T22:46:00+10:00,2027-07-10T03:46:00+10:00,310.0,85.46,excellent
2027-07-10,2027-07-10T23:46:00+10:00,2027-07-11T03:46:00+10:00,250.0,71.54,excellent
2027-07-11,2027-07-11T17:35:30.041898+10:00,2027-07-12T03:35:30.041898+10:00,610.0,88.39,excellent
2027-07-13,2027-07-13T00:46:00+10:00,2027-07-13T03:36:00+10:00,180.0,56.7,excellent
2027-07-14,2027-07-14T01:46:00+10:00,2027-07-14T03:26:00+10:00,110.0,42.86,excellent
2027-07-15,2027-07-15T02:45:00+10:00,2027-07-15T03:25:00+10:00,50.0,29.5,excellent
2027-07-21,2027-07-21T17:40:01.234347+10:00,2027-07-21T19:20:01.234347+10:00,110.0,59.31,excellent
2027-07-22,2027-07-22T17:40:29.473755+10:00,2027-07-22T20:20:29.473755+10:00,170.0,73.41,excellent
2027-07-23,2027-07-23T17:40:57.830127+10:00,2027-07-23T21:10:57.830127+10:00,220.0,85.25,excellent
2027-07-24,2027-07-24T17:41:26.284056+10:00,2027-07-24T22:01:26.284056+10:00,270.0,88.32,excellent
2027-07-25,2027-07-25T17:41:54.816901+10:00,2027-07-26T02:41:54.816901+10:00,550.0,88.51,excellent
2027-07-26,2027-07-26T17:42:23.410808+10:00,2027-07-27T02:42:23.410808+10:00,550.0,88.43,excellent
2027-07-27,2027-07-27T17:42:52.048728+10:00,2027-07-28T02:32:52.048728+10:00,540.0,88.42,excellent
2027-07-28,2027-07-28T17:43:20.714433+10:00,2027-07-29T02:33:20.714433+10:00,540.0,88.51,excellent
2027-07-29,2027-07-29T17:43:49.392527+10:00,2027-07-30T02:23:49.392527+10:00,530.0,88.3,excellent
2027-07-30,2027-07-30T17:44:18.068457+10:00,2027-07-31T02:24:18.068457+10:00,530.0,88.55,excellent
2027-07-31,2027-07-31T17:44:46.728524+10:00,2027-08-01T02:14:46.728524+10:00,520.0,88.21,excellent
2027-08-01,2027-08-01T17:45:15.359885+10:00,2027-08-02T02:15:15.359885+10:00,520.0,88.54,excellent
2027-08-02,2027-08-02T17:45:43.950560+10:00,2027-08-03T02:15:43.950560+10:00,520.0,88.35,excellent
2027-08-03,2027-08-03T17:46:12.489434+10:00,2027-08-04T02:06:12.489434+10:00,510.0,88.49,excellent
2027-08-04,2027-08-04T17:46:40.966256+10:00,2027-08-05T02:06:40.966256+10:00,510.0,88.46,excellent
2027-08-05,2027-08-05T17:47:09.371640+10:00,2027-08-06T01:57:09.371640+10:00,500.0,88.39,excellent
2027-08-06,2027-08-06T17:47:37.697059+10:00,2027-08-07T01:57:37.697059+10:00,500.0,88.53,excellent
2027-08-07,2027-08-07T22:36:00+10:00,2027-08-08T01:56:00+10:00,210.0,62.76,excellent
2027-08-08,2027-08-08T17:48:34.078159+10:00,2027-08-09T01:48:34.078159+10:00,490.0,88.55,excellent
2027-08-09,2027-08-09T17:49:02.121031+10:00,2027-08-10T01:39:02.121031+10:00,480.0,88.26,excellent
2027-08-11,2027-08-11T00:38:00+10:00,2027-08-11T01:38:00+10:00,70.0,33.89,excellent
2027-08-12,2027-08-12T01:37:00+10:00,2027-08-12T01:37:00+10:00,10.0,20.77,useful
2027-08-19,2027-08-19T17:53:36.285216+10:00,2027-08-19T19:03:36.285216+10:00,80.0,80.68,excellent
2027-08-20,2027-08-20T17:54:03.055978+10:00,2027-08-20T19:54:03.055978+10:00,130.0,88.44,excellent
2027-08-21,2027-08-21T17:54:29.715213+10:00,2027-08-21T20:54:29.715213+10:00,190.0,88.41,excellent
2027-08-22,2027-08-22T17:54:56.266558+10:00,2027-08-22T21:44:56.266558+10:00,240.0,88.52,excellent
2027-08-23,2027-08-23T17:55:22.714266+10:00,2027-08-23T22:45:22.714266+10:00,300.0,88.28,excellent
2027-08-24,2027-08-24T17:55:49.063180+10:00,2027-08-25T00:45:49.063180+10:00,420.0,88.55,excellent
2027-08-25,2027-08-25T17:56:15.318722+10:00,2027-08-26T00:36:15.318722+10:00,410.0,88.24,excellent
2027-08-26,2027-08-26T17:56:41.486862+10:00,2027-08-27T00:36:41.486862+10:00,410.0,88.53,excellent
2027-08-27,2027-08-27T17:57:07.574106+10:00,2027-08-28T00:37:07.574106+10:00,410.0,88.38,excellent
2027-08-28,2027-08-28T17:57:33.587471+10:00,2027-08-29T00:27:33.587471+10:00,400.0,88.46,excellent
2027-08-29,2027-08-29T17:57:59.534468+10:00,2027-08-30T00:27:59.534468+10:00,400.0,88.49,excellent
2027-08-30,2027-08-30T17:58:25.423078+10:00,2027-08-31T00:18:25.423078+10:00,390.0,88.35,excellent
